Dataset,g_lat,g_lon,Count
Drillhole Original,-628,2332,788
Drillhole Original,-645,2395,787
Drillhole Original,-570,2329,782
Drillhole Original,-625,2374,781
Drillhole Original,-691,2372,780
Drillhole Original,-626,2376,780
Drillhole Original,-607,2336,769
Drillhole Original,-663,2368,765
Drillhole Original,-649,2395,764
Drillhole Original,-667,2399,752
Drillhole Original,-651,2393,751
Drillhole Original,-558,2321,750
Drillhole Original,-636,2433,744
Drillhole Original,-594,2388,743
Drillhole Original,-642,2424,739
Drillhole Original,-637,2394,730
Drillhole Original,-594,2391,730
Drillhole Original,-594,2383,722
Drillhole Original,-614,2369,719
Drillhole Original,-637,2406,718
Drillhole Original,-650,2415,709
Drillhole Original,-574,2330,708
Drillhole Original,-675,2402,706
Drillhole Original,-604,2387,706
Drillhole Original,-608,2336,706
Drillhole Original,-621,2422,699
Drillhole Original,-588,2345,698
Drillhole Original,-626,2421,697
Drillhole Original,-671,2403,696
Drillhole Original,-609,2335,693
Drillhole Original,-640,2410,688
Drillhole Original,-574,2356,683
Drillhole Original,-643,2433,682
Drillhole Original,-625,2421,681
Drillhole Original,-649,2436,677
Drillhole Original,-672,2405,677
Drillhole Original,-630,2432,674
Drillhole Original,-619,2423,673
Drillhole Original,-578,2329,666
Drillhole Original,-664,2431,663
Drillhole Original,-574,2355,654
Drillhole Original,-646,2396,653
Drillhole Original,-630,2430,653
Drillhole Original,-633,2430,644
Drillhole Original,-583,2340,643
Drillhole Original,-612,2371,642
Drillhole Original,-631,2371,637
Drillhole Original,-586,2336,636
Drillhole Original,-639,2434,636
Drillhole Original,-592,2344,636
Drillhole Original,-614,2417,634
Drillhole Original,-642,2396,631
Drillhole Original,-564,2336,627
Drillhole Original,-578,2340,626
Drillhole Original,-653,2394,623
Drillhole Original,-685,2372,622
Drillhole Original,-594,2387,622
Drillhole Original,-610,2323,619
Drillhole Original,-576,2338,613
Drillhole Original,-625,2386,611
Drillhole Original,-574,2328,610
Drillhole Original,-609,2324,608
Drillhole Original,-621,2393,608
Drillhole Original,-670,2357,603
Drillhole Original,-631,2337,598
Drillhole Original,-559,2325,597
Drillhole Original,-648,2414,586
Drillhole Original,-574,2338,584
Drillhole Original,-676,2403,584
Drillhole Original,-691,2344,583
Drillhole Original,-607,2393,582
Drillhole Original,-585,2337,581
Drillhole Original,-657,2385,576
Drillhole Original,-597,2383,576
Drillhole Original,-620,2333,574
Drillhole Original,-545,2327,573
Drillhole Original,-575,2330,570
Drillhole Original,-584,2341,570
Drillhole Original,-646,2395,569
Drillhole Original,-586,2337,568
Drillhole Original,-673,2406,568
Drillhole Original,-568,2335,564
Drillhole Original,-608,2378,563
Drillhole Original,-653,2327,562
Drillhole Original,-592,2391,562
Drillhole Original,-614,2404,561
Drillhole Original,-629,2344,559
Drillhole Original,-656,2399,558
Drillhole Original,-639,2350,558
Drillhole Original,-644,2408,548
Drillhole Original,-661,2367,547
Drillhole Original,-573,2355,546
Drillhole Original,-620,2415,544
Drillhole Original,-627,2369,542
Drillhole Original,-670,2358,542
Drillhole Original,-560,2317,541
Drillhole Original,-613,2380,537
Drillhole Original,-645,2343,536
Drillhole Original,-603,2342,534
Drillhole Original,-657,2399,523
Drillhole Original,-648,2436,514
Drillhole Original,-576,2362,514
Drillhole Original,-623,2426,512
Drillhole Original,-663,2397,512
Drillhole Original,-584,2325,511
Drillhole Original,-608,2396,508
Drillhole Original,-626,2428,507
Drillhole Original,-622,2384,502
Drillhole Original,-575,2338,500
Drillhole Original,-578,2341,500
Drillhole Original,-589,2344,497
Drillhole Original,-618,2381,496
Drillhole Original,-599,2332,492
Drillhole Original,-644,2352,492
Drillhole Original,-627,2429,491
Drillhole Original,-634,2328,487
Drillhole Original,-625,2429,484
Drillhole Original,-645,2408,483
Drillhole Original,-639,2431,482
Drillhole Original,-623,2427,480
Drillhole Original,-582,2348,478
Drillhole Original,-615,2367,474
Drillhole Original,-609,2399,473
Drillhole Original,-638,2394,469
Drillhole Original,-609,2334,466
Drillhole Original,-632,2433,465
Drillhole Original,-618,2393,465
Drillhole Original,-593,2343,457
Drillhole Original,-618,2380,455
Drillhole Original,-595,2389,451
Drillhole Original,-630,2389,445
Drillhole Original,-570,2337,443
Drillhole Original,-690,2347,442
Drillhole Original,-656,2415,441
Drillhole Original,-567,2334,441
Drillhole Original,-598,2399,440
Drillhole Original,-631,2430,439
Drillhole Original,-613,2369,438
Drillhole Original,-594,2389,434
Drillhole Original,-600,2384,432
Drillhole Original,-638,2433,430
Drillhole Original,-545,2326,429
Drillhole Original,-629,2369,429
Drillhole Original,-697,2358,429
Drillhole Original,-648,2409,428
Drillhole Original,-659,2328,428
Drillhole Original,-666,2364,426
Drillhole Original,-623,2371,424
Drillhole Original,-564,2335,422
Drillhole Original,-646,2432,421
Drillhole Original,-642,2344,420
Drillhole Original,-593,2344,419
Drillhole Original,-596,2398,419
Drillhole Original,-573,2356,415
Drillhole Original,-541,2309,413
Drillhole Original,-595,2387,411
Drillhole Original,-606,2383,410
Drillhole Original,-659,2389,410
Drillhole Original,-593,2389,404
Drillhole Original,-618,2383,402
Drillhole Original,-684,2324,398
Drillhole Original,-691,2368,398
Drillhole Original,-648,2418,396
Drillhole Original,-598,2375,396
Drillhole Original,-600,2334,396
Drillhole Original,-632,2429,394
Drillhole Original,-629,2393,394
Drillhole Original,-643,2423,391
Drillhole Original,-654,2397,391
Drillhole Original,-621,2419,388
Drillhole Original,-608,2398,387
Drillhole Original,-607,2377,386
Drillhole Original,-643,2420,386
Drillhole Original,-614,2418,386
