SAMPLEID_dl,DLAT_dl,DLONG_dl,SAMPLETYPE_dl,Cu_ppm_dl,SAMPLEID_ori,DLAT_ori,DLONG_ori,SAMPLETYPE_ori,Cu_ppm_ori,SPURIOUS
11708347,-31.0193,121.1923,SHALL,55.118,7093498,-31.0193,121.1923,SHALL,0.049000002,0
11708459,-31.020285,121.19231,SHALL,21.42,7093645,-31.020285,121.19231,SHALL,0.039,0
11708574,-31.02117,121.19234,SHALL,55.003,7093795,-31.02117,121.19234,SHALL,0.07,0
11710272,-31.018932,121.19234,SHALL,23.173,7093396,-31.018932,121.19234,SHALL,0.052,0
10707930,-31.045067,121.19235,SOIL,3.137,10708241,-31.045067,121.19235,SOIL,57.2,0
11708142,-31.017977,121.19235,SHALL,47.885,7093257,-31.017977,121.19235,SHALL,0.068,0
11710263,-31.01839,121.19237,SHALL,4.601,7093354,-31.01839,121.19237,SHALL,0.054,0
10707901,-31.043243,121.19238,SOIL,4.084,10708212,-31.043243,121.19238,SOIL,59.3,0
11708133,-31.017515,121.19239,SHALL,39.056,7093215,-31.017515,121.19239,SHALL,0.060000002,0
10707887,-31.041468,121.192406,SOIL,3.299,10708198,-31.041468,121.192406,SOIL,46.8,0
11708711,-31.022501,121.19274,SHALL,57.299,7093992,-31.022501,121.19274,SHALL,0.044000003,0
11710875,-31.02344,121.19279,SHALL,23.415,7094152,-31.02344,121.19279,SHALL,0.068,0
11710486,-31.020283,121.192795,SHALL,21.758,7093646,-31.020283,121.192795,SHALL,0.063,0
11709761,-31.02381,121.1928,SHALL,30.67,11711787,-31.02381,121.1928,SHALL,34.4,0
11710374,-31.019325,121.19282,SHALL,4.785,7093499,-31.019325,121.19282,SHALL,0.037,0
11708467,-31.02067,121.192825,SHALL,60.155,7093685,-31.02067,121.192825,SHALL,0.060000002,0
11710608,-31.0216,121.19283,SHALL,20.128,7093835,-31.0216,121.19283,SHALL,0.063,0
11708696,-31.022123,121.19284,SHALL,52.507,7093952,-31.022123,121.19284,SHALL,0.052,0
11710601,-31.021086,121.19284,SHALL,11.281,7093796,-31.021086,121.19284,SHALL,0.064,0
11708355,-31.01975,121.19284,SHALL,49.539,7093538,-31.01975,121.19284,SHALL,0.053000003,0
11708245,-31.018967,121.19284,SHALL,49.734,7093395,-31.018967,121.19284,SHALL,0.058000002,0
11708829,-31.02299,121.192856,SHALL,21.728,7094112,-31.02299,121.192856,SHALL,0.034,0
10707929,-31.045082,121.19287,SOIL,3.299,10708240,-31.045082,121.19287,SOIL,67.3,0
11708134,-31.017542,121.19289,SHALL,46.234,7093216,-31.017542,121.19289,SHALL,0.051000003,0
11708141,-31.017946,121.1929,SHALL,35.912,7093256,-31.017946,121.1929,SHALL,0.024,0
11710264,-31.018435,121.19294,SHALL,20.338,7093355,-31.018435,121.19294,SHALL,0.017,0
10707902,-31.043287,121.19295,SOIL,3.3,10708213,-31.043287,121.19295,SOIL,67.2,0
10707886,-31.041449,121.19297,SOIL,3.299,10708197,-31.041449,121.19297,SOIL,46.9,0
11710736,-31.0225,121.193275,SHALL,10.115,7093990,-31.0225,121.193275,SHALL,0.032,0
11710874,-31.023474,121.19329,SHALL,5.91,7094151,-31.023474,121.19329,SHALL,0.076000005,0
11709760,-31.023808,121.19331,SHALL,28.868,11711786,-31.023808,121.19331,SHALL,24.0,0
11710492,-31.020714,121.19332,SHALL,3.845,7093684,-31.020714,121.19332,SHALL,0.037,0
11708830,-31.022968,121.19333,SHALL,21.631,7094113,-31.022968,121.19333,SHALL,0.045,0
